






t1##t1##2##2020-05-04 21:05##2021-05-04 21:05##0.5##2020-05-04 21:06##1##0.0##0
#0


t1##t1##0##2020-05-04 21:07##2021-05-04 21:07##0.0##2020-05-04 21:07##0##1120.0##0



t2##t2##1##2020-05-04 21:07##2021-05-04 21:07##0.0##2020-05-14 17:58##1##0.0##0
0

1##1##0##2020-05-04 21:07##2021-05-04 21:07##0.0##2020-05-04 21:07##0##1111111.0##0

t1##t1##0##2020-05-04 22:25##2021-05-04 22:25##0.0##2020-05-04 22:25##0##100.0##0

t2##t2##0##2020-05-04 22:30##2021-05-04 22:30##0.0##2020-05-04 22:30##0##450.0##0

t123##t13##0##2020-05-04 22:46##2021-05-04 22:46##0.0##2020-05-04 22:46##0##300.0##0
















t9##t9##2##2020-05-04 23:01##2021-05-04 23:01##2.0##2020-05-04 23:50##4##0.0##0

##t11##0##2020-05-05 00:40##2021-05-05 00:40##0.0##2020-05-05 00:40##0##161.0##0

t12##t12##0##2020-05-05 01:12##2021-05-05 01:12##0.0##2020-05-05 01:12##0##183.0##0

t23##t23##0##2020-05-05 01:48##2021-05-05 01:48##0.0##2020-05-05 01:48##0##90.0##0


t100####0##2020-05-05 02:14##2021-05-05 02:14##0.0##2020-05-05 02:14##0##150.0##0
#0


t22####0##2020-05-05 02:16##2021-05-05 02:16##0.0##2020-05-05 02:16##0##300.0##0
0

t33##t33##0##2020-05-05 03:04##2021-05-05 03:04##0.0##2020-05-05 03:04##0##483.0##0







t123##t12##2##2020-05-05 03:35##2021-05-05 03:35##0.5##2020-05-05 03:40##1##0.0##0




t111##111##2##2020-05-05 03:45##2021-05-05 03:45##0.0##2020-05-05 03:45##0##0.0##0



t333##t333##0##2020-05-05 03:46##2021-05-05 03:46##0.0##2020-05-05 03:46##0##621.0##0








t34##t34##0##2020-05-05 04:17##2021-05-05 04:17##0.5##2020-05-05 04:17##1##0.0##0


t100##t100##0##2020-05-12 10:07##2021-05-12 10:07##0.0##2020-05-12 10:07##0##161.0##0









t111##111##0##2020-05-12 10:07##2021-05-12 10:07##0.5##2020-05-12 10:10##1##261.5##0
##0##2020-05-12 10:09##2021-05-12 10:09##0.0##2020-05-12 10:09##0##483.0##0

r##r##0##2020-05-12 10:09##2021-05-12 10:09##0.0##2020-05-12 10:09##0##161.0##0

t1##t1##0##2020-05-13 22:48##2021-05-13 22:48##0.0##2020-05-13 22:48##0##150.0##0

t2##t2##0##2020-05-14 17:54##2021-05-14 17:54##0.0##2020-05-14 17:54##0##150.0##0

123##123##0##2021-05-04 11:25##2022-05-04 11:25##0.0##2021-05-04 11:25##0##173.0##0




test1##123##1##2021-05-04 11:26##2022-05-04 11:26##0.0##2021-05-04 11:28##1##0.0##0


test1##123##0##2021-05-04 11:26##2022-05-04 11:26##0.0##2021-05-04 11:26##0##150.0##0

test2##123##0##2021-05-04 11:26##2022-05-04 11:26##0.0##2021-05-04 11:26##0##300.0##0

test3##123##0##2021-05-04 11:27##2022-05-04 11:27##0.0##2021-05-04 11:27##0##450.0##0

zdq1##123##0##2021-05-04 11:27##2022-05-04 11:27##0.0##2021-05-04 11:27##0##150.0##0

whut##123##0##2021-05-04 11:27##2022-05-04 11:27##0.0##2021-05-04 11:27##0##300.0##0
